Latitude [degrees_north],Longitude [degrees_east],u-velocity [m/s],v-velocity [m/s]
-10,67.5,-0.0734594,-0.146931,
-10,70,-0.152078,-0.129574,
-10,72.5,-0.258557,-0.14813,
-10,75,-0.383881,-0.213174,
-10,77.5,-0.511208,-0.264213,
-10,80,-0.612456,-0.259742,
-10,82.5,-0.669446,-0.212784,
-10,85,-0.683819,-0.165668,
-10,87.5,-0.664714,-0.134823,
-10,90,-0.607816,-0.0934312,
-10,92.5,-0.514618,-0.0300963,
-10,95,-0.427533,0.0278186,
-10,97.5,-0.356136,0.0709303,
-10,100,-0.284181,0.10102,
-10,102.5,-0.199519,0.112207,
-10,105,-0.106459,0.0960424,
-10,107.5,-0.0222636,0.0543251,
-10,110,0.0344145,0.00604491,
-10,112.5,0.0493303,-0.0225048,
-10,115,0.0117238,-0.0258805,
-10,117.5,-0.0590199,-0.010555,
-10,120,-0.152169,0.0324552,
-10,122.5,-0.231243,0.102216,
-10,125,-0.24892,0.189131,
-10,127.5,-0.194469,0.270802,
-10,130,-0.119344,0.312297,
-10,132.5,-0.102532,0.282552,
-10,135,-0.133352,0.200468,
-10,137.5,-0.121465,0.0845854,
-10,140,-0.119073,-0.0245834,
-10,142.5,-0.18254,-0.102404,
-10,145,-0.279707,-0.134392,
-10,147.5,-0.400757,-0.126226,
-10,150,-0.513679,-0.0681823,
-10,152.5,-0.576211,0.0437476,
-10,155,-0.610154,0.15726,
-10,157.5,-0.638039,0.240396,
-10,160,-0.645542,0.233634,
-10,162.5,-0.605887,0.179978,
-10,165,-0.523684,0.134887,
-10,167.5,-0.438557,0.107439,
-10,170,-0.392718,0.0847535,
-10,172.5,-0.403087,0.0472336,
-10,175,-0.448335,-0.0131445,
-10,177.5,-0.47878,-0.077006,
-10,180,-0.454602,-0.107449,
-10,182.5,-0.380903,-0.114436,
-10,185,-0.302231,-0.131867,
-10,187.5,-0.244485,-0.157589,
-10,190,-0.224178,-0.187905,
-10,192.5,-0.255132,-0.220657,
-10,195,-0.332592,-0.244209,
-10,197.5,-0.427236,-0.233352,
-10,200,-0.497172,-0.165958,
-10,202.5,-0.501583,-0.066969,
-10,205,-0.459904,0.0048433,
-10,207.5,-0.45312,0.0492069,
-10,210,-0.496649,0.0941361,
-10,212.5,-0.527806,0.148901,
-10,215,-0.498433,0.212241,
-10,217.5,-0.414896,0.269584,
-10,220,-0.325828,0.302167,
-10,222.5,-0.273807,0.313784,
-10,225,-0.243021,0.363784,
-10,227.5,-0.222169,0.431202,
-10,230,-0.200138,0.438902,
-10,232.5,-0.177324,0.409177,
