Latitude [degrees_north],Longitude [degrees_east],u-velocity [m/s],v-velocity [m/s]
-7.5,185,-0.727909,-0.676652,
-7.5,187.5,-0.897439,-0.539561,
-7.5,190,-0.933376,-0.393126,
-7.5,192.5,-0.898649,-0.27085,
-7.5,195,-0.874851,-0.176089,
-7.5,197.5,-0.875961,-0.0952496,
-7.5,200,-0.838043,-0.0155323,
-7.5,202.5,-0.723897,0.099427,
-7.5,205,-0.625279,0.196818,
-7.5,207.5,-0.614295,0.203844,
-7.5,210,-0.608079,0.20156,
-7.5,212.5,-0.550204,0.230241,
-7.5,215,-0.475591,0.266088,
-7.5,217.5,-0.432183,0.283212,
-7.5,220,-0.428228,0.279156,
-7.5,222.5,-0.450142,0.253436,
